city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Tokyo,Tokyo,35.685,139.7514,Japan,JP,JPN,Tōkyō,primary,35676000,1392685764
Mumbai,Mumbai,19.017,72.857,India,IN,IND,Mahārāshtra,admin,18978000,1356226629
Delhi,Delhi,28.67,77.23,India,IN,IND,Delhi,admin,15926000,1356872604
Shanghai,Shanghai,31.2165,121.4365,China,CN,CHN,Shanghai,admin,14987000,1156073548
Kolkata,Kolkata,22.495,88.3247,India,IN,IND,West Bengal,admin,14787000,1356060520
Dhaka,Dhaka,23.7231,90.4086,Bangladesh,BD,BGD,Dhaka,primary,12797394,1050529279
Karachi,Karachi,24.87,66.99,Pakistan,PK,PAK,Sindh,admin,12130000,1586129469
Ōsaka,Osaka,34.75,135.4601,Japan,JP,JPN,Ōsaka,admin,11294000,1392419823
Beijing,Beijing,39.9289,116.3883,China,CN,CHN,Beijing,primary,11106000,1156228865
Manila,Manila,14.6042,120.9822,Philippines,PH,PHL,Manila,primary,11100000,1608618140
Seoul,Seoul,37.5663,126.9997,"Korea, South",KR,KOR,Seoul,primary,9796000,1410836482
Jakarta,Jakarta,-6.1744,106.8294,Indonesia,ID,IDN,Jakarta,primary,9125000,1360771077
Guangzhou,Guangzhou,23.145,113.325,China,CN,CHN,Guangdong,admin,8829000,1156237133
Shenzhen,Shenzhen,22.5524,114.1221,China,CN,CHN,Guangdong,minor,7581000,1156158707
Wuhan,Wuhan,30.58,114.27,China,CN,CHN,Hubei,admin,7243000,1156117184
Hong Kong,Hong Kong,22.305,114.185,Hong Kong,HK,HKG,,,7206000,1344982653
Tianjin,Tianjin,39.13,117.2,China,CN,CHN,Tianjin,admin,7180000,1156174046
Chennai,Chennai,13.09,80.28,India,IN,IND,Tamil Nādu ,admin,7163000,1356374944
Taipei,Taipei,25.0358,121.5683,Taiwan,TW,TWN,Taipei,primary,6900273,1158881289
Bengalūru,Bengaluru,12.97,77.56,India,IN,IND,Karnātaka,admin,6787000,1356410365
Bangkok,Bangkok,13.75,100.5166,Thailand,TH,THA,Krung Thep Maha Nakhon,primary,6704000,1764068610
Lahore,Lahore,31.56,74.35,Pakistan,PK,PAK,Punjab,admin,6577000,1586801463
Chongqing,Chongqing,29.565,106.595,China,CN,CHN,Chongqing,admin,6461000,1156936556
Hyderabad,Hyderabad,17.4,78.48,India,IN,IND,Telangana,admin,6376000,1356871768
Ahmadābād,Ahmadabad,23.0301,72.58,India,IN,IND,Gujarāt,minor,5375000,1356304381
Ho Chi Minh City,Ho Chi Minh City,10.78,106.695,Vietnam,VN,VNM,Hồ Chí Minh,admin,5314000,1704774326
